"","label","present","floor","gradeType"
"1","Actor 1",TRUE,3,5
"2","Actor 2",TRUE,5,1
"3","Actor 3",TRUE,5,2
"4","Actor 4",TRUE,2,2
"5","Actor 5",TRUE,4,1
"6","Actor 6",TRUE,4,2
"7","Actor 7",TRUE,2,3
"8","Actor 8",TRUE,5,1
"9","Actor 9",TRUE,9,2
"10","Actor 10",TRUE,9,2
"11","Actor 11",TRUE,2,4
"12","Actor 12",TRUE,1,4
"13","Actor 13",TRUE,5,4
"14","Actor 14",TRUE,4,2
"15","Actor 15",TRUE,7,5
"16","Actor 16",TRUE,3,3
"17","Actor 17",TRUE,4,1
"18","Actor 18",TRUE,8,3
"19","Actor 19",TRUE,8,4
"20","Actor 20",TRUE,4,2
"21","Actor 21",TRUE,2,2
"22","Actor 22",TRUE,8,4
"23","Actor 23",TRUE,5,2
"24","Actor 24",TRUE,1,4
"25","Actor 25",TRUE,5,2
"26","Actor 26",TRUE,8,3
"27","Actor 27",TRUE,2,2
"28","Actor 28",TRUE,4,5
"29","Actor 29",TRUE,8,4
"30","Actor 30",TRUE,4,2
"31","Actor 31",TRUE,2,3
"32","Actor 32",TRUE,8,1
"33","Actor 33",TRUE,2,4
"34","Actor 34",TRUE,5,4
"35","Actor 35",TRUE,9,1
"36","Actor 36",TRUE,4,2
"37","Actor 37",TRUE,9,5
"38","Actor 38",TRUE,5,1
"39","Actor 39",TRUE,4,4
"40","Actor 40",TRUE,8,1
"41","Actor 41",TRUE,5,1
"42","Actor 42",TRUE,4,2
"43","Actor 43",TRUE,3,1
"44","Actor 44",TRUE,3,2
"45","Actor 45",TRUE,9,1
"46","Actor 46",TRUE,4,2
"47","Actor 47",TRUE,4,3
"48","Actor 48",TRUE,7,5
"49","Actor 49",TRUE,7,4
"50","Actor 50",TRUE,9,5
"51","Actor 51",TRUE,5,5
"52","Actor 52",TRUE,2,1
"53","Actor 53",TRUE,4,3
"54","Actor 54",TRUE,8,1
"55","Actor 55",TRUE,5,5
"56","Actor 56",TRUE,6,4
"57","Actor 57",TRUE,2,1
"58","Actor 58",TRUE,2,4
"59","Actor 59",TRUE,4,1
"60","Actor 60",TRUE,8,2
"61","Actor 61",TRUE,3,5
"62","Actor 62",TRUE,7,1
"63","Actor 63",TRUE,3,3
"64","Actor 64",TRUE,3,1
"65","Actor 65",TRUE,8,2
"66","Actor 66",TRUE,5,1
"67","Actor 67",TRUE,8,4
"68","Actor 68",TRUE,8,1
"69","Actor 69",TRUE,9,2
"70","Actor 70",TRUE,3,1
"71","Actor 71",TRUE,4,2
"72","Actor 72",TRUE,1,NA
"73","Actor 73",TRUE,1,NA
"74","Actor 74",TRUE,1,NA
"75","Actor 75",TRUE,7,NA
"76","Actor 76",TRUE,1,NA
"77","Actor 77",TRUE,5,NA
"78","Actor 78",TRUE,1,NA
"79","Actor 79",TRUE,5,1
"80","Actor 80",TRUE,3,2
"81","Actor 81",TRUE,9,NA
"82","Actor 82",TRUE,1,NA
"83","Actor 83",TRUE,1,NA
"84","Actor 84",TRUE,1,NA
