"","time","sender","receiver","increment"
"1",1220733470,"Actor 72","Actor 50",1
"2",1221102974,"Actor 43","Actor 51",1
"3",1221784293,"Actor 43","Actor 51",1
"4",1221785882,"Actor 43","Actor 22",1
"5",1221787264,"Actor 43","Actor 55",1
"6",1221848443,"Actor 43","Actor 51",1
"7",1221853013,"Actor 43","Actor 51",1
"8",1221853141,"Actor 43","Actor 55",1
"9",1221854140,"Actor 43","Actor 55",1
"10",1221856069,"Actor 43","Actor 55",1
"11",1221872019,"Actor 43","Actor 51",1
"12",1221873750,"Actor 43","Actor 55",1
"13",1221875386,"Actor 43","Actor 55",1
"14",1221875419,"Actor 43","Actor 55",1
"15",1221892651,"Actor 43","Actor 55",1
"16",1221898269,"Actor 43","Actor 55",1
"17",1221923751,"Actor 29","Actor 77",1
"18",1221928513,"Actor 43","Actor 55",1
"19",1221928662,"Actor 43","Actor 51",1
"20",1221936225,"Actor 43","Actor 51",1
"21",1222484877,"Actor 46","Actor 32",1
"22",1222484925,"Actor 46","Actor 14",1
"23",1222485369,"Actor 46","Actor 44",1
"24",1222485377,"Actor 44","Actor 46",1
"25",1222487252,"Actor 46","Actor 20",1
"26",1222522527,"Actor 24","Actor 58",1
"27",1222523087,"Actor 24","Actor 58",1
"28",1222524522,"Actor 24","Actor 58",1
"29",1222524804,"Actor 24","Actor 58",1
"30",1222534595,"Actor 24","Actor 58",1
"31",1222534671,"Actor 24","Actor 58",1
"32",1222535848,"Actor 24","Actor 58",1
"33",1222541964,"Actor 44","Actor 4",1
"34",1222542079,"Actor 24","Actor 58",1
"35",1222542091,"Actor 24","Actor 58",1
"36",1222550535,"Actor 24","Actor 58",1
"37",1222550549,"Actor 24","Actor 58",1
"38",1222564121,"Actor 24","Actor 58",1
"39",1222564154,"Actor 24","Actor 58",1
"40",1222564180,"Actor 24","Actor 58",1
"41",1222565664,"Actor 24","Actor 58",1
"42",1222570616,"Actor 44","Actor 46",1
"43",1222570641,"Actor 46","Actor 44",1
"44",1222573608,"Actor 24","Actor 58",1
"45",1222574443,"Actor 2","Actor 25",1
"46",1222574523,"Actor 2","Actor 25",1
"47",1222574563,"Actor 2","Actor 25",1
"48",1222631387,"Actor 24","Actor 58",1
"49",1222700480,"Actor 24","Actor 58",1
"50",1222700506,"Actor 24","Actor 58",1
"51",1222722005,"Actor 24","Actor 58",1
"52",1222746895,"Actor 24","Actor 58",1
